categoria,grupo,nome_popular,nome_cientifico,onde
planta,árvore nativa,Cambará,Vochysia divergens,Pantanal
planta,árvore nativa,Piúva,Handroanthus heptaphyllus,Pantanal
planta,árvore nativa,Carandá,Copernicia alba,Pantanal
planta,árvore nativa,Acuri,Attalea phalerata,Pantanal
planta,árvore nativa,Aroeira-salsa,Schinus molle,Pampa; Sul
planta,árvore nativa,Corticeira-do-banhado,Erythrina crista-galli,Pampa
planta,árvore nativa,Espinilho,Vachellia caven,Pampa
planta,árvore nativa,Guabiju,Myrcianthes pungens,Pampa; Sul
planta,árvore nativa,Erva-mate,Ilex paraguariensis,Mata Atlântica (Sul)
planta,árvore nativa,Bracatinga,Mimosa scabrella,Mata Atlântica (Sul)
planta,árvore nativa,Pau-rosa,Aniba rosiodora,Amazônia
planta,árvore nativa,Andiroba,Carapa guianensis,Amazônia
planta,árvore nativa,Jenipapeiro,Genipa americana,Amazônia; Mata Atlântica
planta,árvore nativa,Sapucaia,Lecythis pisonis,Mata Atlântica
planta,árvore nativa,Pau-santo,Kielmeyera coriacea,Cerrado
planta,árvore nativa,Faveira,Parkia platycephala,Cerrado; Caatinga
planta,árvore nativa,Jacarandá-do-cerrado,Machaerium opacum,Cerrado
planta,árvore nativa,Mamica-de-porca,Zanthoxylum rhoifolium,Mata Atlântica; Cerrado
planta,árvore nativa,Pau-pombo,Tapirira guianensis,Todo o Brasil
planta,árvore nativa,Guanandi,Calophyllum brasiliense,Mata Atlântica; Amazônia
planta,árvore nativa,Palmito-guariroba,Syagrus oleracea,Cerrado
planta,árvore nativa,Ingá,Inga edulis,Amazônia; Mata Atlântica
planta,árvore nativa,Ingá-feijão,Inga marginata,Mata Atlântica
planta,árvore nativa,Pindaíba,Xylopia aromatica,Cerrado
planta,árvore nativa,Marolo,Annona crassiflora,Cerrado
planta,árvore nativa,Araticum,Annona montana,Mata Atlântica
planta,árvore nativa,Pau-de-balsa,Ochroma pyramidale,Amazônia
planta,árvore nativa,Louro-pardo,Cordia trichotoma,Mata Atlântica; Cerrado
planta,árvore nativa,Cuité,Crescentia cujete,Amazônia; Nordeste
planta,árvore nativa,Oiti,Moquilea tomentosa,Mata Atlântica (NE)
planta,árvore nativa,Chichá,Sterculia striata,Cerrado; Mata Atlântica
planta,árvore nativa,Monjoleiro,Senegalia polyphylla,Mata Atlântica; Cerrado
planta,árvore exótica cultivada,Mangueira,Mangifera indica,Todo o Brasil
planta,árvore exótica cultivada,Abacateiro,Persea americana,Todo o Brasil
planta,árvore exótica cultivada,Jaqueira,Artocarpus heterophyllus,Mata Atlântica (cultivada)
planta,árvore exótica cultivada,Fruta-pão,Artocarpus altilis,Norte; Nordeste
planta,árvore exótica cultivada,Laranjeira,Citrus × sinensis,Todo o Brasil
planta,árvore exótica cultivada,Limoeiro-taiti,Citrus × latifolia,Todo o Brasil
planta,árvore exótica cultivada,Tangerineira,Citrus reticulata,Todo o Brasil
planta,árvore exótica cultivada,Bananeira,Musa × paradisiaca,Todo o Brasil
planta,árvore exótica cultivada,Mamoeiro,Carica papaya,Todo o Brasil
planta,árvore exótica cultivada,Coqueiro,Cocos nucifera,Litoral
planta,árvore exótica cultivada,Cafeeiro,Coffea arabica,Sudeste; Bahia
planta,árvore exótica cultivada,Ameixeira-amarela,Eriobotrya japonica,Sudeste; Sul
planta,árvore exótica cultivada,Amoreira,Morus nigra,Todo o Brasil
planta,árvore exótica cultivada,Romãzeira,Punica granatum,Todo o Brasil
planta,árvore exótica cultivada,Figueira-comum,Ficus carica,Sudeste; Sul
planta,árvore exótica cultivada,Pessegueiro,Prunus persica,Sul; Sudeste
planta,árvore exótica cultivada,Macieira,Malus domestica,Sul
planta,árvore exótica cultivada,Videira,Vitis vinifera,Sul; Sudeste; Vale do São Francisco
planta,árvore exótica cultivada,Carambola,Averrhoa carambola,Todo o Brasil
planta,árvore exótica cultivada,Acerola,Malpighia emarginata,Todo o Brasil
planta,árvore exótica cultivada,Lichia,Litchi chinensis,Sudeste
planta,árvore exótica cultivada,Tamarindeiro,Tamarindus indica,Nordeste; Norte
planta,árvore exótica cultivada,Nespereira,Eriobotrya japonica,Sudeste; Sul
planta,árvore exótica cultivada,Nogueira-pecã,Carya illinoinensis,Sul
planta,árvore exótica cultivada,Oliveira,Olea europaea,Sul; Serra da Mantiqueira
planta,árvore exótica cultivada,Eucalipto,Eucalyptus grandis,Todo o Brasil (plantios)
planta,árvore exótica cultivada,Pinus,Pinus elliottii,Sul; Sudeste (plantios)
planta,árvore exótica cultivada,Flamboyant,Delonix regia,Todo o Brasil (ornamental)
planta,árvore exótica cultivada,Chuva-de-ouro,Cassia fistula,Todo o Brasil (ornamental)
planta,árvore exótica cultivada,Cássia-imperial,Cassia fistula,Todo o Brasil (ornamental)
planta,árvore exótica cultivada,Magnólia,Magnolia grandiflora,Sul; Sudeste
planta,árvore exótica cultivada,Pata-de-vaca,Bauhinia variegata,Todo o Brasil (ornamental)
planta,árvore exótica cultivada,Ligustro,Ligustrum lucidum,Sudeste; Sul (ornamental)
planta,árvore exótica cultivada,Leucena,Leucaena leucocephala,Todo o Brasil (invasora)
planta,árvore exótica cultivada,Algaroba,Prosopis juliflora,Caatinga (introduzida)
planta,árvore exótica cultivada,Nim,Azadirachta indica,Nordeste; Centro-Oeste
planta,árvore exótica cultivada,Cinamomo,Melia azedarach,Sul; Sudeste
planta,árvore exótica cultivada,Plátano,Platanus × acerifolia,Sul
planta,árvore exótica cultivada,Cipreste,Cupressus sempervirens,Sul; Sudeste
planta,árvore exótica cultivada,Tuia,Thuja occidentalis,Sul; Sudeste
planta,árvore exótica cultivada,Palmeira-imperial,Roystonea oleracea,Todo o Brasil (ornamental)
planta,árvore exótica cultivada,Palmeira-real,Archontophoenix cunninghamiana,Sudeste; Sul (ornamental)
planta,árvore exótica cultivada,Tamareira,Phoenix dactylifera,Nordeste; ornamental
planta,árvore exótica cultivada,Palmeira-leque,Livistona chinensis,Ornamental
planta,árvore exótica cultivada,Palmeira-rabo-de-peixe,Caryota urens,Ornamental
planta,árvore exótica cultivada,Cerejeira-japonesa,Prunus serrulata,Sul; Sudeste
planta,árvore exótica cultivada,Resedá,Lagerstroemia indica,Todo o Brasil (ornamental)
planta,árvore exótica cultivada,Tipuana,Tipuana tipu,Sudeste; Sul (arborização)
planta,árvore exótica cultivada,Oiti-da-praia,Moquilea tomentosa,Arborização urbana
planta,árvore exótica cultivada,Ficus-benjamina,Ficus benjamina,Arborização urbana
planta,árvore exótica cultivada,Espatódea,Spathodea campanulata,Todo o Brasil (ornamental)
planta,árvore exótica cultivada,Acácia-mimosa,Acacia podalyriifolia,Sul; Sudeste
planta,árvore exótica cultivada,Grevílea,Grevillea robusta,Sudeste; Sul
planta,árvore exótica cultivada,Castanheira-portuguesa,Castanea sativa,Sul
planta,árvore exótica cultivada,Salgueiro-chorão,Salix babylonica,Sul; Sudeste
planta,árvore exótica cultivada,Álamo,Populus nigra,Sul
planta,arbusto e flor,Hibisco,Hibiscus rosa-sinensis,Todo o Brasil
planta,arbusto e flor,Primavera,Bougainvillea spectabilis,Todo o Brasil
planta,arbusto e flor,Azaleia,Rhododendron simsii,Sul; Sudeste
planta,arbusto e flor,Roseira,Rosa × hybrida,Todo o Brasil
planta,arbusto e flor,Jasmim-manga,Plumeria rubra,Todo o Brasil
planta,arbusto e flor,Ixora,Ixora coccinea,Todo o Brasil
planta,arbusto e flor,Lantana,Lantana camara,Todo o Brasil (nativa)
planta,arbusto e flor,Manacá-de-cheiro,Brunfelsia uniflora,Mata Atlântica
planta,arbusto e flor,Dama-da-noite,Cestrum nocturnum,Todo o Brasil
planta,arbusto e flor,Gardênia,Gardenia jasminoides,Sudeste; Sul
planta,arbusto e flor,Camélia,Camellia japonica,Sul; Sudeste
planta,arbusto e flor,Hortênsia,Hydrangea macrophylla,Serra Gaúcha; Sudeste
planta,arbusto e flor,Buxinho,Buxus sempervirens,Todo o Brasil (jardins)
planta,arbusto e flor,Murta,Murraya paniculata,Todo o Brasil
planta,arbusto e flor,Alamanda,Allamanda cathartica,Todo o Brasil (nativa)
planta,arbusto e flor,Brinco-de-princesa,Fuchsia magellanica,Sul; Sudeste
planta,arbusto e flor,Onze-horas,Portulaca grandiflora,Todo o Brasil
planta,arbusto e flor,Maria-sem-vergonha,Impatiens walleriana,Todo o Brasil
planta,arbusto e flor,Beijinho,Impatiens hawkeri,Todo o Brasil
planta,arbusto e flor,Gerânio,Pelargonium × hortorum,Sul; Sudeste
planta,arbusto e flor,Girassol,Helianthus annuus,Todo o Brasil
planta,arbusto e flor,Margarida,Leucanthemum vulgare,Sul; Sudeste
planta,arbusto e flor,Crisântemo,Chrysanthemum × morifolium,Todo o Brasil
planta,arbusto e flor,Cravo,Dianthus caryophyllus,Sul; Sudeste
planta,arbusto e flor,Petúnia,Petunia × atkinsiana,Todo o Brasil
planta,arbusto e flor,Amor-perfeito,Viola × wittrockiana,Sul; Sudeste
planta,arbusto e flor,Lírio,Lilium longiflorum,Sul; Sudeste
planta,arbusto e flor,Copo-de-leite,Zantedeschia aethiopica,Sul; Sudeste
planta,arbusto e flor,Antúrio,Anthurium andraeanum,Todo o Brasil
planta,arbusto e flor,Orquídea-cattleya,Cattleya labiata,Mata Atlântica
planta,arbusto e flor,Orquídea-phalaenopsis,Phalaenopsis amabilis,Cultivada
planta,arbusto e flor,Orquídea-chuva-de-ouro,Oncidium flexuosum,Mata Atlântica
planta,arbusto e flor,Orquídea-vanda,Vanda coerulea,Cultivada
planta,arbusto e flor,Orquídea-dendróbio,Dendrobium nobile,Cultivada
planta,arbusto e flor,Bromélia-imperial,Alcantarea imperialis,Mata Atlântica
planta,arbusto e flor,Bromélia-guzmânia,Guzmania lingulata,Amazônia; Mata Atlântica
planta,arbusto e flor,Gravatá,Bromelia antiacantha,Mata Atlântica; Pampa
planta,arbusto e flor,Helicônia,Heliconia rostrata,Amazônia; Mata Atlântica
planta,arbusto e flor,Bananeira-de-jardim,Heliconia psittacorum,Amazônia; Mata Atlântica
planta,arbusto e flor,Estrelícia,Strelitzia reginae,Todo o Brasil
planta,arbusto e flor,Agapanto,Agapanthus africanus,Sul; Sudeste
planta,arbusto e flor,Lavanda,Lavandula angustifolia,Sul; Sudeste
planta,arbusto e flor,Alecrim,Salvia rosmarinus,Todo o Brasil
planta,arbusto e flor,Manjericão,Ocimum basilicum,Todo o Brasil
planta,arbusto e flor,Hortelã,Mentha spicata,Todo o Brasil
planta,arbusto e flor,Boldo-do-chile,Peumus boldus,Cultivado
planta,arbusto e flor,Boldo-brasileiro,Plectranthus barbatus,Todo o Brasil
planta,arbusto e flor,Erva-cidreira,Melissa officinalis,Todo o Brasil
planta,arbusto e flor,Capim-limão,Cymbopogon citratus,Todo o Brasil
planta,arbusto e flor,Camomila,Matricaria chamomilla,Sul; Sudeste
planta,arbusto e flor,Guaco,Mikania glomerata,Mata Atlântica
planta,arbusto e flor,Babosa,Aloe vera,Todo o Brasil
planta,arbusto e flor,Arruda,Ruta graveolens,Todo o Brasil
planta,arbusto e flor,Pimenteira,Capsicum baccatum,Todo o Brasil
planta,arbusto e flor,Espada-de-são-jorge,Dracaena trifasciata,Todo o Brasil
planta,arbusto e flor,Comigo-ninguém-pode,Dieffenbachia seguine,Todo o Brasil
planta,arbusto e flor,Jiboia,Epipremnum aureum,Todo o Brasil
planta,arbusto e flor,Costela-de-adão,Monstera deliciosa,Todo o Brasil
planta,arbusto e flor,Samambaia,Nephrolepis exaltata,Todo o Brasil
planta,arbusto e flor,Avenca,Adiantum raddianum,Mata Atlântica
planta,arbusto e flor,Zamioculca,Zamioculcas zamiifolia,Cultivada
planta,arbusto e flor,Lírio-da-paz,Spathiphyllum wallisii,Todo o Brasil
planta,arbusto e flor,Violeta-africana,Streptocarpus ionanthus,Cultivada
planta,arbusto e flor,Begônia,Begonia × semperflorens-cultorum,Todo o Brasil
planta,arbusto e flor,Suculenta-rabo-de-burro,Sedum morganianum,Cultivada
planta,arbusto e flor,Cacto-dedo-de-moça,Echinocereus pentalophus,Cultivada
planta,arbusto e flor,Flor-de-maio,Schlumbergera truncata,Mata Atlântica
planta,arbusto e flor,Cacto-figo-da-índia,Opuntia ficus-indica,Nordeste
planta,arbusto e flor,Palma-forrageira,Opuntia cochenillifera,Caatinga
planta,arbusto e flor,Dracena,Dracaena marginata,Cultivada
planta,arbusto e flor,Pleomele,Dracaena reflexa,Cultivada
planta,arbusto e flor,Iúca,Yucca gigantea,Cultivada
planta,arbusto e flor,Agave,Agave americana,Nordeste; cultivada
planta,arbusto e flor,Sisal,Agave sisalana,Bahia
planta,arbusto e flor,Mandioca,Manihot esculenta,Todo o Brasil
planta,arbusto e flor,Milho,Zea mays,Todo o Brasil
planta,arbusto e flor,Feijão,Phaseolus vulgaris,Todo o Brasil
planta,arbusto e flor,Arroz,Oryza sativa,Sul; Centro-Oeste
planta,arbusto e flor,Cana-de-açúcar,Saccharum officinarum,Sudeste; Nordeste
planta,arbusto e flor,Soja,Glycine max,Centro-Oeste; Sul
planta,arbusto e flor,Algodoeiro,Gossypium hirsutum,Centro-Oeste; Nordeste
planta,arbusto e flor,Abacaxizeiro,Ananas comosus,Todo o Brasil
planta,arbusto e flor,Maracujazeiro,Passiflora edulis,Todo o Brasil
planta,arbusto e flor,Chuchuzeiro,Sicyos edulis,Todo o Brasil
planta,arbusto e flor,Aboboreira,Cucurbita moschata,Todo o Brasil
planta,arbusto e flor,Melancia,Citrullus lanatus,Todo o Brasil
planta,arbusto e flor,Tomateiro,Solanum lycopersicum,Todo o Brasil
planta,arbusto e flor,Quiabeiro,Abelmoschus esculentus,Todo o Brasil
planta,arbusto e flor,Couve,Brassica oleracea,Todo o Brasil
planta,arbusto e flor,Alface,Lactuca sativa,Todo o Brasil
planta,arbusto e flor,Cebolinha,Allium fistulosum,Todo o Brasil
planta,arbusto e flor,Coentro,Coriandrum sativum,Todo o Brasil
planta,arbusto e flor,Salsinha,Petroselinum crispum,Todo o Brasil
planta,arbusto e flor,Ora-pro-nóbis,Pereskia aculeata,Mata Atlântica; MG
planta,arbusto e flor,Taioba,Xanthosoma taioba,Mata Atlântica
planta,arbusto e flor,Vitória-régia,Victoria amazonica,Amazônia
planta,arbusto e flor,Aguapé,Pontederia crassipes,Todo o Brasil (aquática)
planta,arbusto e flor,Nenúfar,Nymphaea caerulea,Cultivada
planta,arbusto e flor,Papiro,Cyperus papyrus,Cultivada
planta,arbusto e flor,Taboa,Typha domingensis,Todo o Brasil (brejos)
planta,arbusto e flor,Bambu-gigante,Dendrocalamus giganteus,Sudeste; Sul
planta,arbusto e flor,Bambu-mossô,Phyllostachys edulis,Sul
planta,arbusto e flor,Taquara,Merostachys riedeliana,Mata Atlântica
planta,arbusto e flor,Capim-gordura,Melinis minutiflora,Cerrado (invasora)
planta,arbusto e flor,Braquiária,Urochloa decumbens,Todo o Brasil (pastagens)
planta,arbusto e flor,Capim-elefante,Cenchrus purpureus,Todo o Brasil
planta,arbusto e flor,Grama-esmeralda,Zoysia japonica,Todo o Brasil
planta,arbusto e flor,Grama-batatais,Paspalum notatum,Todo o Brasil (nativa)
planta,arbusto e flor,Canela-de-ema,Vellozia squamata,Cerrado (campos rupestres)
planta,arbusto e flor,Sempre-viva,Comanthera elegans,Cerrado (Serra do Espinhaço)
planta,arbusto e flor,Arnica-do-campo,Lychnophora ericoides,Cerrado (campos rupestres)
planta,arbusto e flor,Chapéu-de-couro,Echinodorus grandiflorus,Cerrado; Pantanal
planta,arbusto e flor,Carqueja,Baccharis trimera,Sul; Sudeste
planta,arbusto e flor,Macela,Achyrocline satureioides,Sul
planta,arbusto e flor,Dente-de-leão,Taraxacum officinale,Sul; Sudeste
planta,arbusto e flor,Trevo-branco,Trifolium repens,Sul
planta,arbusto e flor,Picão-preto,Bidens pilosa,Todo o Brasil
planta,arbusto e flor,Mentruz,Lepidium virginicum,Todo o Brasil
planta,arbusto e flor,Tansagem,Plantago major,Todo o Brasil
planta,arbusto e flor,Bico-de-papagaio,Euphorbia pulcherrima,Todo o Brasil
planta,arbusto e flor,Coroa-de-cristo,Euphorbia milii,Todo o Brasil
planta,arbusto e flor,Cróton,Codiaeum variegatum,Todo o Brasil
planta,arbusto e flor,Acalifa,Acalypha wilkesiana,Todo o Brasil
planta,arbusto e flor,Pingo-de-ouro,Duranta erecta,Todo o Brasil
planta,arbusto e flor,Clúsia,Clusia fluminensis,Mata Atlântica (restinga)
planta,arbusto e flor,Cambará-de-cheiro,Lantana camara,Todo o Brasil
planta,arbusto e flor,Jasmim-estrela,Trachelospermum jasminoides,Sul; Sudeste
planta,arbusto e flor,Tumbérgia-azul,Thunbergia grandiflora,Todo o Brasil
planta,arbusto e flor,Cipó-de-são-joão,Pyrostegia venusta,Todo o Brasil (nativa)
planta,arbusto e flor,Sete-léguas,Podranea ricasoliana,Sul; Sudeste
planta,arbusto e flor,Unha-de-gato,Dolichandra unguis-cati,Todo o Brasil (nativa)
planta,arbusto e flor,Glicínia,Wisteria sinensis,Sul; Sudeste
planta,arbusto e flor,Trepadeira-hera,Hedera helix,Sul; Sudeste
planta,arbusto e flor,Bico-de-tucano,Heliconia rostrata,Amazônia
planta,arbusto e flor,Calathea,Goeppertia orbifolia,Amazônia; Mata Atlântica
planta,arbusto e flor,Maranta,Maranta leuconeura,Mata Atlântica
planta,arbusto e flor,Filodendro-brasil,Philodendron hederaceum,Mata Atlântica
planta,arbusto e flor,Imbé,Philodendron bipinnatifidum,Mata Atlântica
planta,arbusto e flor,Pacová,Philodendron martianum,Mata Atlântica
planta,arbusto e flor,Chapéu-de-sol,Terminalia catappa,Litoral (introduzida)
planta,arbusto e flor,Amendoeira-da-praia,Terminalia catappa,Litoral
planta,arbusto e flor,Mangue-vermelho,Rhizophora mangle,Manguezais
planta,arbusto e flor,Salsa-da-praia,Ipomoea pes-caprae,Restinga
planta,arbusto e flor,Pinheiro-de-natal,Araucaria columnaris,Ornamental
planta,arbusto e flor,Cica,Cycas revoluta,Ornamental
planta,arbusto e flor,Pau-d'água,Dracaena fragrans,Ornamental
planta,arbusto e flor,Palmeira-ráfis,Rhapis excelsa,Ornamental
planta,arbusto e flor,Areca-bambu,Dypsis lutescens,Ornamental
planta,arbusto e flor,Palmeira-fênix,Phoenix roebelenii,Ornamental
planta,arbusto e flor,Lírio-do-brejo,Hedychium coronarium,Todo o Brasil (brejos)
planta,arbusto e flor,Gengibre,Zingiber officinale,Todo o Brasil
planta,arbusto e flor,Açafrão-da-terra,Curcuma longa,Todo o Brasil
planta,arbusto e flor,Urucum,Bixa orellana,Amazônia; Nordeste
planta,arbusto e flor,Jambu,Acmella oleracea,Amazônia
planta,arbusto e flor,Cipó-alho,Mansoa alliacea,Amazônia
planta,arbusto e flor,Erva-de-santa-maria,Dysphania ambrosioides,Todo o Brasil
planta,arbusto e flor,Losna,Artemisia absinthium,Sul; Sudeste
planta,arbusto e flor,Poejo,Mentha pulegium,Sul; Sudeste
planta,arbusto e flor,Melão-de-são-caetano,Momordica charantia,Todo o Brasil
planta,arbusto e flor,Erva-doce,Foeniculum vulgare,Todo o Brasil
planta,arbusto e flor,Estévia,Stevia rebaudiana,Sul
planta,arbusto e flor,Cidreira-de-arbusto,Lippia alba,Todo o Brasil
planta,arbusto e flor,Malva,Malva sylvestris,Sul; Sudeste
planta,arbusto e flor,Calêndula,Calendula officinalis,Sul; Sudeste
planta,arbusto e flor,Trapoeraba,Tradescantia pallida,Todo o Brasil
planta,arbusto e flor,Beldroega,Portulaca oleracea,Todo o Brasil
planta,arbusto e flor,Serralha,Sonchus oleraceus,Todo o Brasil
planta,arbusto e flor,Vinca,Catharanthus roseus,Todo o Brasil
planta,arbusto e flor,Cravo-de-defunto,Tagetes erecta,Todo o Brasil
planta,arbusto e flor,Zínia,Zinnia elegans,Todo o Brasil
planta,arbusto e flor,Celósia,Celosia argentea,Todo o Brasil
planta,arbusto e flor,Boca-de-leão,Antirrhinum majus,Sul; Sudeste
planta,arbusto e flor,Papoula-da-califórnia,Eschscholzia californica,Sul
planta,arbusto e flor,Tulipa,Tulipa gesneriana,Sul (Holambra)
planta,arbusto e flor,Narciso,Narcissus pseudonarcissus,Sul
planta,arbusto e flor,Dália,Dahlia pinnata,Sul; Sudeste
planta,arbusto e flor,Gérbera,Gerbera jamesonii,Todo o Brasil
planta,arbusto e flor,Áster,Symphyotrichum novi-belgii,Sul; Sudeste
planta,arbusto e flor,Lisianto,Eustoma grandiflorum,Sudeste
